gene	celltype	trend_class	score	RNA_mean	RNA_rho	NAC_RNA	Pu_RNA	CaB_RNA	H3K27ac_mean	H3K27ac_rho	NAC_K27ac	Pu_K27ac	CaB_K27ac	H3K27me3_mean	H3K27me3_rho	NAC_K27me3	Pu_K27me3	CaB_K27me3	H3K9me3_mean	H3K9me3_rho	NAC_K9me3	Pu_K9me3	CaB_K9me3
CNTNAP4	STR D2 MSN	DOWN	2.5690258794935303	0.028438685461878777	-0.27602697802064835	0.04776930436491966	0.02056046761572361	0.016986288130283356	1.2105061614420265e-05	-0.8178261478809732	2.4303673853864893e-05	8.284308023576159e-06	7.107295914465794e-06	2.073572250083089e-05	-0.408910222755569	2.0949315512552857e-05	2.1201511117396876e-05	1.989654265344143e-05	1.4503917554975487e-05	0.4009958661450868	1.0633702913764864e-05	1.7231357560376637e-05	1.5646708561689593e-05
SLC22A25	STR D2 MSN	DOWN	2.5472549201842494	0.044656265527009964	-0.3307601325407208	0.07407014816999435	0.0326947420835495	0.027203869074583054	2.6573115974315442e-06	-0.5156900581334224	4.034027824673103e-06	2.5897884370351676e-06	1.6528523474335088e-06	2.930682967416942e-05	0.4606480162004051	1.7038308214978315e-05	2.9264771001180634e-05	3.3870710467454046e-05	4.446174352779053e-05	-0.37566189154728874	4.0431663364870474e-05	4.39842879131902e-05	4.896922837360762e-05
CLMP	STR D2 MSN	DOWN	2.5402894401707887	0.021588895469903946	-0.2117704075862933	0.03378456458449364	0.018565163016319275	0.012416969053447247	3.8296209822874516e-05	-0.3806105152628816	6.407681212294847e-05	3.184621891705319e-05	2.5766328690224327e-05	0.00011523695138748735	0.8156603915097878	8.90497540240176e-05	0.00012178504402982071	0.00011413483298383653	4.677831020671874e-05	0.8934791927014994	3.1535753805655986e-05	5.365796823753044e-05	5.514127406058833e-05
COL12A1	STR D2 MSN	DOWN	2.5169582659804717	0.035319190472364426	-0.2623604258464266	0.07208942621946335	0.018449649214744568	0.01541849784553051	2.1773728803964332e-05	-0.4778043034609485	2.759284143394325e-05	2.1870562704862095e-05	1.7065180145436898e-05	6.309241871349514e-05	0.7483777094427362	5.408184733823873e-05	6.83852777001448e-05	5.774752207798883e-05	3.645631659310311e-05	0.5995805808389323	2.534260602260474e-05	4.3993000872433186e-05	4.0033337427303195e-05
LINC02223	STR D2 MSN	DOWN	2.507258021177461	0.06589621305465698	-0.3016277264930183	0.13198889791965485	0.03580910339951515	0.02989070490002632	2.7765341656049713e-05	-0.4869031725793146	4.10365937568713e-05	2.3179949494078755e-05	2.28472472372232e-05	1.3194632629165426e-05	-0.4877019241015374	1.181544030259829e-05	1.2866870747529902e-05	1.423541471012868e-05	1.6160585801117122e-05	0.5223896661510187	1.1707747034961358e-05	1.9403676560614258e-05	1.7370330169796944e-05
CD109	STR D2 MSN	DOWN	2.4878402067079888	0.03729900345206261	-0.3860854432305783	0.0655638575553894	0.02419261261820793	0.022140556946396828	1.9649878595373593e-05	-0.5730486198343272	3.0642262572655454e-05	1.681332832959015e-05	1.4411914889933541e-05	5.329215855454095e-05	-0.5399969999249982	5.193898323341273e-05	5.1257458835607395e-05	5.711193443858065e-05	4.662797800847329e-05	0.34215983709772246	3.236325574107468e-05	5.046202932135202e-05	5.70586089452263e-05
PDE1C	STR D2 MSN	DOWN	2.463597315046801	0.7747677564620972	0.3294104025578773	1.1815123558044434	0.6371501684188843	0.5056391358375549	5.0574079068610445e-05	-0.551602427094395	8.262533810921013e-05	4.25639700551983e-05	3.49858746631071e-05	5.1020138926105574e-05	0.24744018600465015	2.4433162252535112e-05	5.3910069254925475e-05	5.604074613074772e-05	2.9687915230169892e-05	0.4718085644995469	1.9035942386835814e-05	3.388780896784738e-05	3.613999069784768e-05
ZBTB16	STR D2 MSN	DOWN	2.4514704342936375	0.02056540735065937	-0.28194106189916873	0.04302441328763962	0.013171986676752567	0.0054998151026666164	3.447943163337186e-05	-0.5996459911497789	4.5395398046821356e-05	3.257627031416632e-05	2.8171461963211186e-05	9.672944725025445e-05	-0.08869271731793296	0.00011174545215908438	9.214828605763614e-05	9.871111251413822e-05	4.136703864787705e-05	0.8133128328208207	3.795328666456044e-05	4.2464351281523705e-05	4.3683427065843716e-05
DCHS2	STR D2 MSN	DOWN	2.4501946642755397	0.06567467749118805	-0.29520687581508936	0.11398371309041977	0.04557105898857117	0.037469230592250824	2.5841563910944387e-05	-0.35887743223301616	3.912608735845424e-05	2.2238895326154307e-05	1.9722907381947152e-05	4.6037061110837385e-05	0.5194809870246757	3.714318518177606e-05	4.7296667617047206e-05	4.72380306746345e-05	3.5426208341959864e-05	0.6174053981891772	2.3661556042497978e-05	4.180371615802869e-05	4.081328006577678e-05
IL16	STR D2 MSN	DOWN	2.43976134730697	0.05336844176054001	-0.34524992363795864	0.08673301339149475	0.03744898736476898	0.03592323884367943	8.48475974635221e-06	-0.7102560126554845	1.40436695801327e-05	7.196219939942239e-06	5.659211183228763e-06	4.085584805579856e-05	-0.16450761269031727	2.449030762363691e-05	4.4109459850005805e-05	4.153703775955364e-05	2.4480090360157192e-05	0.547422185554639	1.5484280083910562e-05	2.8975251552765258e-05	2.898075217672158e-05
TP53BP2	STR D2 MSN	DOWN	2.4378934721615413	0.032474335283041	-0.3013959812074867	0.05287998542189598	0.024014707654714584	0.020528316497802734	1.4503855709335767e-05	-0.622753891342533	2.2476910089608282e-05	1.2386817616061307e-05	1.077685101336101e-05	8.144997991621494e-06	-0.7068452452066075	5.074553882877808e-06	7.677912435610779e-06	1.0033036232925951e-05	7.476591235899832e-06	0.3005635455643796	6.536616183439037e-06	9.535021490592044e-06	6.358137397910468e-06
CEACAM19	STR D2 MSN	DOWN	2.436672534151735	0.022004423663020134	-0.20665109068422646	0.036764804273843765	0.015022003091871738	0.014226463623344898	1.5049861758598126e-05	-0.7558521419238096	2.4921653675846756e-05	1.2375558071653359e-05	1.049960519594606e-05	1.132169745687861e-05	-0.6807394832607132	7.917300536064431e-06	1.1152214028697927e-05	1.284595055039972e-05	9.132390914601274e-06	0.6347493747069752	8.464025086141191e-06	1.130911368818488e-05	7.624040790688014e-06
DPYD-AS1	STR D2 MSN	DOWN	2.3918675169022667	0.11307913064956665	0.22108595711284118	0.1786908358335495	0.0808255523443222	0.07972119748592377	1.421335582563188e-05	-0.6491606722434122	2.2143969545140862e-05	1.199046710098628e-05	1.0648025636328384e-05	1.612433698028326e-05	-0.5935405484393926	1.2412239811965264e-05	1.5162330782914069e-05	1.9055960365221836e-05	1.990751661651302e-05	0.6620544160577025	1.167091068055015e-05	2.1677631593775004e-05	2.637397665239405e-05
TMC2	STR D2 MSN	DOWN	2.3832988714967644	0.04661836102604866	-0.3070969117355047	0.08882489055395126	0.026234988123178482	0.024795152246952057	0.00011143616575282067	-0.6309832745818647	0.00014291862316895276	0.00010414341522846371	9.542798215989023e-05	2.4972217943286523e-05	-0.7357128928223207	1.9761540897889063e-05	2.3904851332190447e-05	2.862503424694296e-05	1.5242360859701876e-05	0.795579776566281	9.248466085409746e-06	2.113160735461861e-05	1.5347010048571974e-05
DCDC2C	STR D2 MSN	DOWN	2.2728518885637996	0.06779078394174576	-0.21674934465769188	0.10993563383817673	0.049762193113565445	0.04367447644472122	4.3123414798174053e-05	-0.8031770794269858	6.686413689749315e-05	3.635339453467168e-05	3.259049844928086e-05	3.9920567360240966e-05	-0.5529153228830722	4.2948337068082765e-05	3.4607655834406614e-05	4.749017534777522e-05	3.617858237703331e-05	0.570447225098377	2.807625241985079e-05	3.893022585543804e-05	4.152936890022829e-05
DISC1FP1	STR D2 MSN	DOWN	2.2401547107128805	0.057645685970783234	-0.28326203068648986	0.0962514728307724	0.03987303003668785	0.03681258484721184	6.977521934459219e-06	-0.46915045195001004	1.0869482139241882e-05	6.768663297407329e-06	4.159691343375016e-06	1.2720942322630435e-05	-0.752753848501568	1.3135855624568649e-05	1.1158326742588542e-05	1.5121598153200466e-05	1.2765062820108142e-05	0.443191003066847	1.0863795068871696e-05	1.699173117231112e-05	1.0439658581162803e-05
EPB41L4B	STR D2 MSN	DOWN	2.220334987609005	0.3893643915653229	0.2599629740953275	0.6868789792060852	0.24350768327713013	0.2377055436372757	0.00011893190094269812	-0.4884872121803046	0.00016074425366241485	0.00010454017319716513	0.0001033701773849316	2.7750551453209482e-05	-0.7019530488262208	1.9430883185123093e-05	2.8094744266127236e-05	3.0236589736887254e-05	1.9685081497300416e-05	0.5959885816691939	1.4428635040530935e-05	2.1817546439706348e-05	2.280905027873814e-05
LINC00504	STR D2 MSN	DOWN	2.2060964689169533	0.10936976224184036	-0.24691074455408002	0.18192055821418762	0.07411948591470718	0.07206930220127106	4.800435635843314e-05	-0.6400939923851019	5.6684617447899655e-05	4.568472286337055e-05	4.3964719225186855e-05	6.478441719082184e-06	-0.7186232014938139	1.503237581346184e-05	5.104951469547814e-06	5.5880182117107324e-06	8.385612090933137e-06	0.5769640469420881	6.585220035049133e-06	8.916812475945335e-06	9.654801942815538e-06
ETS2	STR D2 MSN	DOWN	2.2005174326802877	0.04054742678999901	-0.20124732603512346	0.07623177021741867	0.025443309918045998	0.019967209547758102	0.00011511274351505563	-0.17044926123153079	0.00013474549632519484	0.00010929602285614237	0.00010666676826076582	2.815183142956812e-05	-0.6294802370059251	2.8900862162117846e-05	2.7420101105235517e-05	2.9072734832880087e-05	4.6648852730868384e-05	0.4312097802445062	3.357100285938941e-05	4.97013570566196e-05	5.667412551702e-05
PI4K2B	STR D2 MSN	DOWN	2.171376367601865	0.04004236310720444	-0.25574780279822235	0.07299920916557312	0.027296213433146477	0.019831668585538864	1.2035837244184222e-05	-0.26065440734208783	1.4262498552852776e-05	1.2484113540267572e-05	9.736148967931513e-06	2.2466421796707436e-05	-0.47249173947792256	2.2894248104421422e-05	2.0911158571834676e-05	2.485027835064102e-05	4.4618453102884814e-05	-0.25313732843321085	3.734978236025199e-05	4.551757956505753e-05	5.098799738334492e-05
IMPG2	STR D2 MSN	DOWN	2.082917423348606	0.04381372407078743	-0.2587895049219074	0.05684058740735054	0.04040084779262543	0.03419974073767662	6.42863324173959e-06	-0.35398865565432863	8.850225640344433e-06	7.688798177696299e-06	2.9919367534603225e-06	7.148873010009993e-06	-0.341365892617974	5.15349393026554e-06	6.255805601540487e-06	9.338889867649414e-06	1.2718413017864805e-05	0.22716455322912585	1.1258071936026681e-05	1.3347073036129586e-05	1.3550087714975234e-05
ARHGEF26-AS1	STR D2 MSN	DOWN	2.0657381518401094	0.07266414165496826	-0.26615787957108195	0.1319274604320526	0.04542956501245499	0.04063549265265465	4.2642328480724245e-05	-0.10187354683867099	4.600860847858712e-05	4.2014096834464e-05	4.074710886925459e-05	3.7673048609576654e-06	-0.6061491192191178	3.0280923510872526e-06	3.603310915423208e-06	4.306049049773719e-06	7.905432539700996e-06	0.6516160499996604	4.7413936954399105e-06	1.0036363164545037e-05	8.938537575886585e-06
ROBO1	STR D2 MSN	DOWN	2.006655176300239	2.674997329711914	0.5196164610782403	3.271505355834961	2.406144857406616	2.3473446369171143	9.284842235501856e-06	-0.788778129944607	1.3123677490511909e-05	8.30697263154434e-06	7.440200988639845e-06	3.5836683309753425e-06	-0.5434075038604878	6.21603476247401e-07	3.6692576941277366e-06	4.529149919108022e-06	1.5625924788764678e-05	0.0884033426886807	1.0185392056882847e-05	1.968891046999488e-05	1.700348366284743e-05
ERC2	STR D2 MSN	DOWN	1.9767823731859226	1.084275722503662	0.4377986137550119	1.6037408113479614	0.8471667170524597	0.8019180297851562	3.45442931575235e-05	-0.6340658516462914	4.435629671206698e-05	3.114526771241799e-05	3.0918825359549373e-05	6.000242592563154e-06	-0.7883421819945068	4.2132364796998445e-06	5.137108018971048e-06	8.065018846536987e-06	7.2660141086089425e-06	0.5861522467769291	5.417941792984493e-06	7.461762834282126e-06	8.918339517549612e-06
GKAP1	STR D2 MSN	DOWN	1.9713479049080098	0.0666947290301323	-0.3217674361836591	0.09210358560085297	0.056842535734176636	0.0511380210518837	7.806881512806285e-06	-0.4197921318939248	1.1928289495699573e-05	7.577572887385031e-06	4.832781087316107e-06	1.411687844665721e-05	-0.6040696017400436	1.1645078302535694e-05	1.3693831533601042e-05	1.571362736285664e-05	8.400619663007092e-06	0.45371145928880896	6.698533525195671e-06	1.0601958820188884e-05	7.901370736362878e-06
SLC35F1	STR D2 MSN	DOWN	1.9677970507542841	0.5033272504806519	0.22996949294177585	0.8292935490608215	0.3785458505153656	0.30214205384254456	4.403680577524938e-05	0.22951473786844676	4.8008456360548735e-05	4.479462586459704e-05	3.998530519311316e-05	1.6221407349803485e-05	-0.09835745893647342	1.1118607289972715e-05	1.747991336742416e-05	1.6035188309615478e-05	1.4590020327887032e-05	0.6724354334539511	8.887837793736253e-06	1.8766286302707158e-05	1.6115953258122317e-05
LINC00378	STR D2 MSN	DOWN	1.963641469988184	0.10168579965829849	-0.25011023140872	0.1304577738046646	0.09861208498477936	0.07598741352558136	1.313568736804882e-05	-0.6844114135226587	2.490497899998445e-05	9.171029887511395e-06	8.650940799270757e-06	3.749466486624442e-05	-0.08190504762619068	3.48395187756978e-05	3.696906424011104e-05	3.932601975975558e-05	3.51375165337231e-05	0.26894472361809046	2.8260268663871102e-05	3.808256587944925e-05	3.9069680497050285e-05
SULF2	STR D2 MSN	DOWN	1.9564337343427096	0.0554032102227211	-0.312003303112623	0.0671035498380661	0.05942841246724129	0.03967771679162979	2.696155570447445e-05	-0.42152001221058577	3.8938924262765795e-05	2.355518881813623e-05	2.163654426112771e-05	3.0915609386283904e-05	-0.6990789769744244	3.071608080063015e-05	2.8594195100595243e-05	3.4780892747221515e-05	1.397412870574044e-05	0.828855818265556	8.566297765355557e-06	1.673360566201154e-05	1.662247632339131e-05
COL5A2	STR D2 MSN	DOWN	1.9309731090278992	0.041907962411642075	-0.25819382896529736	0.054143644869327545	0.036624934524297714	0.03495534509420395	1.1987985999439843e-05	-0.5042252655072381	1.8639468180481344e-05	1.1071673725382425e-05	7.849626854294911e-06	8.217114373110235e-05	0.6607890197254932	7.403072231682017e-05	8.190838707378134e-05	8.558312401873991e-05	5.527230314328335e-05	0.7625215630390759	3.6615638236980885e-05	6.776510417694226e-05	6.143635255284607e-05
SOX1-OT	STR D2 MSN	DOWN	1.8996416392150917	0.027532605454325676	-0.2457187722225791	0.04310381039977074	0.023920193314552307	0.015573820099234581	1.8248838387080468e-05	-0.7886414116725844	2.4157754523912445e-05	1.637246532482095e-05	1.5858973711146973e-05	4.8259647883241996e-05	-0.02918472961824046	5.241890175966546e-05	4.7512399760307744e-05	4.795651329914108e-05	1.935856562340632e-05	0.5627225680642016	1.7970452972804196e-05	2.0185738321742974e-05	1.991949466173537e-05
ZBTB20	STR D2 MSN	DOWN	1.8993568154064366	1.5961421728134155	0.34704788199935305	2.007495403289795	1.3961551189422607	1.384779930114746	1.3361082892515697e-05	-0.6527318275387328	2.1557072614086792e-05	1.0521564945520367e-05	1.0333093086956069e-05	1.479930870118551e-05	-0.6255801002952088	8.772279215918388e-06	1.397214782627998e-05	1.8358838133281097e-05	1.1876054486492649e-05	0.7526912517588075	6.257013410504442e-06	1.6095495084300637e-05	1.3275648598209955e-05
HSD11B1-AS1	STR D2 MSN	DOWN	1.8970109961778845	0.05331014096736908	-0.3518562310841	0.07598020881414413	0.04372003674507141	0.04023014008998871	6.974845746299252e-06	-0.45755581567598097	8.47062619868666e-06	6.787159236409934e-06	6.021964054525597e-06	1.8815804651239887e-05	-0.5588044701117528	1.5233182239171583e-05	1.863675242930185e-05	2.0420979126356542e-05	1.8710470612859353e-05	0.4643762034006278	1.1165667274326552e-05	2.150638283637818e-05	2.345936263736803e-05
OPN3	STR D2 MSN	DOWN	1.8892185586072359	0.02731924317777157	-0.42939647240653567	0.042257774621248245	0.02170511707663536	0.01799485832452774	3.82693724532146e-05	-0.39948248706217654	4.6914079575799406e-05	3.6959434510208666e-05	3.3034983061952516e-05	4.873721081821714e-06	-0.6565390260825797	6.156388280942338e-06	4.225855263939593e-06	5.462105946207885e-06	1.7678610674920492e-05	0.6667957116985508	1.5022099432826508e-05	1.8000158888753504e-05	2.0013589164591394e-05
LRRIQ3	STR D2 MSN	DOWN	1.8616479248463946	0.02365526556968689	-0.32336321916944716	0.029926223680377007	0.02341132052242756	0.01762823574244976	2.759586823231075e-05	-0.19165379134478364	3.346888843225315e-05	2.5980732971220277e-05	2.4917922928580083e-05	3.7556851566478144e-06	-0.658242099736808	1.528098664493882e-06	3.733205630851444e-06	4.608595190802589e-06	7.921502401586622e-06	0.5812891961693671	5.773379598394968e-06	8.490123036608566e-06	9.501006388745736e-06
ADAM32	STR D2 MSN	DOWN	1.7990707622202449	0.08353253453969955	-0.260827926974003	0.11607278138399124	0.06825278699398041	0.06627200543880463	1.1254400305915624e-05	-0.39763763327872415	1.4151354662317317e-05	1.2147620509495027e-05	7.887018909968901e-06	6.242834842851153e-06	-0.6561850019178704	9.584412509866524e-06	5.2347249948070385e-06	6.6653319663601e-06	1.6034791769925505e-05	0.49422918710679425	1.1850984265038278e-05	2.0166369722574018e-05	1.608700222277548e-05
SPAG17	STR D2 MSN	DOWN	1.797646505857874	0.11118479818105698	-0.2333164928891346	0.1439478099346161	0.09624174237251282	0.09336494654417038	5.962060185993323e-06	-0.5045208645294583	9.660347132012248e-06	4.657003955799155e-06	4.624537268682616e-06	2.4462660803692415e-05	-0.28731954073336635	1.8070730220642872e-05	2.5660883693490177e-05	2.484728793206159e-05	1.9547118426999077e-05	0.5833633341759822	1.3312169357959647e-05	2.359821883146651e-05	2.1730962544097565e-05
LRMDA	STR D2 MSN	DOWN	1.7963483061351821	1.2421127557754517	0.35071143149113104	1.7160247564315796	1.0585334300994873	0.9517828226089478	4.476525282370858e-05	-0.7350573764344109	6.187611870700493e-05	4.129312947043218e-05	3.5469576687319204e-05	8.443824299320113e-06	-0.6622388283598214	1.0522996490180958e-05	6.8996077970950864e-06	1.0204646969214082e-05	7.046873179206159e-06	0.6853757057806594	5.405250249168603e-06	8.674645869177766e-06	7.060712050588336e-06
SEL1L2	STR D2 MSN	DOWN	1.7821793266314963	0.047804370522499084	-0.2579595715373132	0.06430140137672424	0.04007831588387489	0.03903340920805931	1.423145931767067e-05	-0.49973149328733224	1.883995355456136e-05	1.2881268958153669e-05	1.2230450920469593e-05	2.9324571642064257e-06	-0.7245039128691535	4.559808985504787e-06	2.8546498924697516e-06	2.4633004613860976e-06	3.278170697740279e-05	0.3012601444761873	1.9777609850279987e-05	3.9744893001625314e-05	3.882261080434546e-05
NFKBIZ	STR D2 MSN	DOWN	1.758959527354567	0.05763721466064453	0.23767843023206187	0.0723971277475357	0.051592230796813965	0.0489223375916481	2.942197534139268e-05	-0.3945835125566589	3.707527866936289e-05	2.863161171262618e-05	2.4340632080566138e-05	2.2327508304442745e-06	-0.485650417503686	5.828334224133869e-07	2.9566333523689536e-06	1.6547454606552492e-06	7.140249181247782e-06	0.41914644263147627	5.9058756960439496e-06	7.752913006697781e-06	7.761957022012211e-06
OTUD7B	STR D2 MSN	DOWN	1.741946798704126	0.08045390993356705	-0.3387702859990486	0.10108362138271332	0.07407316565513611	0.06620495021343231	3.9136179111665115e-05	-0.7017157790805733	5.366958066588268e-05	3.403518348932266e-05	3.3846717997221276e-05	4.835213530895999e-06	-0.6795031438921211	3.2208558877755422e-06	4.4562711991602555e-06	6.04575279794517e-06	4.596223334374372e-06	0.7880576262284206	3.463189841568237e-06	6.200767074915348e-06	4.124713996134233e-06
FPGT	STR D2 MSN	DOWN	1.7381698438061444	0.096676304936409	-0.30153210995139657	0.12108699977397919	0.09023813158273697	0.07870374619960785	2.759586823231075e-05	-0.19165379134478364	3.346888843225315e-05	2.5980732971220277e-05	2.4917922928580083e-05	3.7556851566478144e-06	-0.658242099736808	1.528098664493882e-06	3.733205630851444e-06	4.608595190802589e-06	7.921502401586622e-06	0.5812891961693671	5.773379598394968e-06	8.490123036608566e-06	9.501006388745736e-06
GOLM1	STR D2 MSN	DOWN	1.7285934082286516	0.11847852915525436	-0.22805926861658832	0.16012246906757355	0.09734773635864258	0.09796524047851562	5.250250251265243e-05	-0.5062956573914349	6.711673631798476e-05	4.891724165645428e-05	4.531365630100481e-05	9.731505997478962e-06	-0.7593398402747724	7.428042863466544e-06	8.570719728595577e-06	1.2471764421206899e-05	1.8781678591039963e-05	0.6125518112563487	1.2484811122703832e-05	2.1186648154980503e-05	2.2673551939078607e-05
MARCHF3	STR D2 MSN	DOWN	1.7178054019482794	0.02581983245909214	-0.3872570315080023	0.038753315806388855	0.019274841994047165	0.019431330263614655	2.3139567929320037e-05	-0.4125428729790953	3.03064825857291e-05	2.2439920940087177e-05	1.8332142644794658e-05	3.466466296231374e-05	-0.10769219230480764	3.341271076351404e-05	3.323409691802226e-05	3.746039146790281e-05	2.7243542717769742e-05	0.6006825170629266	2.490629231033381e-05	2.7584606868913397e-05	2.9239754439913668e-05
CD247	STR D2 MSN	DOWN	1.7019766087362538	0.13761374354362488	-0.20706420713631682	0.17485162615776062	0.1203666627407074	0.11762306839227676	6.451853550970554e-05	-0.5369204230105754	7.756664854241535e-05	6.291999306995422e-05	5.6159577070502564e-05	1.6824582417029887e-05	-0.8457024158880485	1.752511707309168e-05	1.532810892967973e-05	1.901257382996846e-05	1.9189112208550796e-05	0.6266096351982826	1.0722081242420245e-05	1.9275827071396634e-05	2.7569425583351403e-05
BCL10	STR D2 MSN	DOWN	1.6756553136929648	0.03320125862956047	-0.27469289077325987	0.05210121348500252	0.0242288950830698	0.023273656144738197	0.0001138599545811303	-0.0111092777319433	0.00012021056318189949	0.00011214932601433247	0.00011092080967500806	1.2197456271678675e-05	-0.756894709797331	9.967795449483674e-06	1.2730083653877955e-05	1.2144300853833556e-05	1.9525858078850433e-05	0.6815337080496647	1.2310406418691855e-05	2.6231973606627434e-05	2.0035196939716116e-05
SOHLH2	STR D2 MSN	DOWN	1.6576625159736518	0.030104320496320724	0.3110470753041618	0.03548290580511093	0.027770739048719406	0.02705930545926094	1.0495302376511972e-05	-0.5135937942264089	1.5361942132585682e-05	1.0032777026935946e-05	7.215633559098933e-06	2.9205235478002578e-05	-0.286484662116553	2.504111034795642e-05	2.9287419238244183e-05	3.0596704164054245e-05	2.781691546260845e-05	0.5893921768487196	1.918158341140952e-05	2.838024556695018e-05	3.5888915590476245e-05
SEMA3A	STR D2 MSN	DOWN	1.6500482726167487	0.5293908715248108	0.2770629066793539	0.8130656480789185	0.389004111289978	0.3861018419265747	8.978510595625266e-05	0.01049126228155704	9.940114978235215e-05	9.211539872922003e-05	7.937615737318993e-05	9.798594874155242e-06	-0.6529042039553886	8.62640627019573e-06	9.790573130885605e-06	1.0241188647341914e-05	1.1630519111349713e-05	0.6391693036948793	8.51193726703059e-06	1.477994373999536e-05	1.1599663594097365e-05
PPFIA2	STR D2 MSN	DOWN	1.6378819211637652	1.8760403394699097	0.3980750226897523	2.2380850315093994	1.6931699514389038	1.6968663930892944	1.648764191486407e-05	-0.581686926864191	2.096047501254361e-05	1.4954125617805403e-05	1.4815670510870405e-05	1.8994853689946467e-06	-0.6267783525469934	4.322805125411833e-06	1.7617956018511904e-06	1.236511138813512e-06	5.630453870253405e-06	0.5252335541573467	3.2140626444743248e-06	5.992224942019675e-06	7.685073796892539e-06
LINC01362	STR D2 MSN	DOWN	1.6341339472610212	0.04134444147348404	0.33765396450308344	0.049735501408576965	0.03798184171319008	0.036315999925136566	5.95105484535452e-06	-0.5944561136375748	1.0841727998922579e-05	4.236273071001051e-06	4.168915893387748e-06	5.5579908803338185e-05	0.0008055201380034501	5.652844629366882e-05	5.546218017116189e-05	5.5424596212105826e-05	5.398020221036859e-05	0.6114528722355455	4.245354648446664e-05	6.158681935630739e-05	5.7900117099052295e-05
SLC12A1	STR D2 MSN	DOWN	1.622126656008776	0.03457397595047951	-0.22330482679349084	0.039358824491500854	0.03243469446897507	0.031928401440382004	7.474388439732138e-06	-0.6806637374219899	1.3159628906578291e-05	6.566618594661122e-06	4.088046807737555e-06	7.475160145986592e-06	-0.5939578609345787	8.073077879089396e-06	6.350912371999584e-06	9.092645996133797e-06	4.2188039515167475e-06	0.5399930505227161	4.731823537440505e-06	4.583341706165811e-06	3.3412457014492247e-06
SULF1	STR D2 MSN	DOWN	1.6107512597010751	0.03139220550656319	-0.40809097292478574	0.04229024052619934	0.029863351956009865	0.022023020312190056	1.8929118596133776e-05	-0.4444188604430103	2.3400692953146063e-05	1.8711021766648628e-05	1.5665176761103794e-05	6.829937046859413e-05	0.3653146328658217	6.228727579582483e-05	6.761957774870098e-05	7.161277608247474e-05	3.731902688741684e-05	0.6273576839420986	3.9915652450872585e-05	3.665608528535813e-05	3.538534656399861e-05
PKN1	STR D2 MSN	DOWN	1.597883931005736	0.041227564215660095	-0.26521099214528476	0.05334625765681267	0.03539888188242912	0.034937553107738495	6.787915481254458e-05	-0.07536038400960025	7.861445192247629e-05	6.458379357354715e-05	6.33996824035421e-05	3.1313156796386465e-06	-0.5655797331440932	1.6133977851495729e-06	2.7960836632701103e-06	4.235116648487747e-06	5.507956757355714e-06	0.6717461955889374	3.60074955096934e-06	7.051267857605126e-06	5.8718546824820805e-06
CCDC175	STR D2 MSN	DOWN	1.5780770143485152	0.0752437487244606	-0.34746442075462236	0.10265220701694489	0.061593394726514816	0.061485566198825836	4.73118489026092e-05	-0.16889822245556144	5.623163451673463e-05	4.711981819127686e-05	4.0506780351279303e-05	9.575631338520907e-06	-0.6040002775626083	1.2905946277896874e-05	8.429006811638828e-06	1.0228543942503165e-05	8.54620520840399e-06	0.7480009978253657	5.997795597068034e-06	1.063938998413505e-05	9.001435500977095e-06
H2BC18	STR D2 MSN	DOWN	1.576108138040955	0.023899557068943977	-0.2920163845637294	0.030413439497351646	0.020809946581721306	0.02047528326511383	1.4747144632565323e-05	-0.25472925032542026	1.7101263438235037e-05	1.4696893231302965e-05	1.2950602467753924e-05	1.3996425423101755e-06	-0.7121414405617662	9.063021479960298e-07	1.1683000593620818e-06	1.9583233097364428e-06	2.965873591165291e-06	0.7122264747838164	2.2667334178549936e-06	3.514157469908241e-06	3.1167287488642614e-06
CFAP58	STR D2 MSN	DOWN	1.5731466878635438	0.04498447850346565	-0.343574240622211	0.07165823131799698	0.03257821872830391	0.03071697987616062	0.0001397040905430913	0.1306892672316808	0.0001526449341326952	0.00013576423225458711	0.00013426541408989578	2.0384921299410053e-05	-0.5878601965049127	1.583614357514307e-05	2.2222166080609895e-05	1.905027420434635e-05	1.549819717183709e-05	0.7262859302292735	1.391039950249251e-05	1.811452784750145e-05	1.4469683264906053e-05
MID1	STR D2 MSN	DOWN	1.5579604575874049	0.08957011997699738	-0.29545933726517093	0.11181466281414032	0.08434358984231949	0.07255198061466217	4.4159784010844305e-05	-0.3691877296932424	5.0433125579729676e-05	4.4459360651671886e-05	3.8847272662678733e-05	2.2098120098235086e-05	-0.5877911947798696	1.2405988854879979e-05	2.1286979972501285e-05	2.6974341380991973e-05	0.0	0.0	0.0	0.0	0.0
DLG5	STR D2 MSN	DOWN	1.5247704111558753	0.06181071326136589	-0.2111731138922631	0.06843498349189758	0.0619390495121479	0.055058177560567856	1.4311101949715521e-05	-0.6069944435885039	2.2857668227516115e-05	1.1332053873047698e-05	1.1175488907610998e-05	1.28023866636795e-05	-0.8256482794655263	1.3218487765698228e-05	1.1931327208003495e-05	1.4072866179049015e-05	7.5934290180157404e-06	0.671104457415326	5.147149295225972e-06	9.257488272851333e-06	8.375648576475214e-06
