gene	celltype	trend_class	score	RNA_mean	RNA_rho	NAC_RNA	Pu_RNA	CaB_RNA	H3K27ac_mean	H3K27ac_rho	NAC_K27ac	Pu_K27ac	CaB_K27ac	H3K27me3_mean	H3K27me3_rho	NAC_K27me3	Pu_K27me3	CaB_K27me3	H3K9me3_mean	H3K9me3_rho	NAC_K9me3	Pu_K9me3	CaB_K9me3
RASAL2	STR D2 MSN	UP	1.1561664915064374	1.6740930080413818	-0.19339189836803053	1.4966824054718018	1.7506290674209595	1.7749634981155396	0.00013806619972456247	0.797143928598215	0.0001151505348389037	0.00014115642989054322	0.0001524044491816312	3.045849098270992e-06	-0.8392789616200217	4.957255441695452e-06	2.6423761028127046e-06	3.0046239771763794e-06	1.0220098374702502e-05	0.7671218560913043	6.39033851257409e-06	1.4406011359824333e-05	9.863939339993522e-06
RCAN2	STR D2 MSN	UP	1.1546910126095142	1.7882403135299683	-0.3121200031050663	1.4778146743774414	1.9456061124801636	1.9412952661514282	5.651398896588944e-05	0.6418825470636768	5.3608302550856024e-05	5.724471338908188e-05	5.7921672123484313e-05	1.3477618949764292e-06	-0.6294530708208924	2.1932071376795648e-06	1.3030455647822237e-06	1.1110390687463223e-06	3.93030995837762e-06	0.3332868657990774	4.025525413453579e-06	2.7414494070399087e-06	5.023954145144671e-06
TPPP	STR D2 MSN	UP	1.1509746737722897	0.12944519519805908	-0.29303714240218864	0.11650887131690979	0.13160566985607147	0.14022104442119598	9.681326628196985e-05	0.8136113402835071	8.686968794791028e-05	9.655379108153284e-05	0.00010497275798115879	3.672622597150621e-06	-0.5182088919336896	5.542200597119518e-06	3.827425643976312e-06	2.7347243758413242e-06	6.784854122088291e-06	0.3739469139333998	4.640181487047812e-06	8.745382729102857e-06	6.968998150114203e-06
MAPK11	STR D2 MSN	UP	1.1082996439894452	0.025791171938180923	0.22069430095641246	0.024192754179239273	0.025377929210662842	0.02780284732580185	0.00012807428720407188	0.8395244881122029	0.00011111596541013569	0.00013029709225520492	0.00013876272714696825	3.837987605948001e-06	-0.5646573749504047	3.753804321604548e-06	3.6030751289217733e-06	4.2525844037299976e-06	4.4820012590207625e-06	0.5743809148894055	4.686599822889548e-06	6.387868324964074e-06	2.371534947087639e-06
ROBO2	STR D2 MSN	UP	1.0788745523812187	3.2943856716156006	-0.456915745300847	2.7285566329956055	3.568633556365967	3.585972309112549	1.5889625501586124e-05	0.08776572705533021	1.3765877156401984e-05	1.4541020391334314e-05	1.9198412701371126e-05	2.1240781279630028e-05	-0.374766274533028	1.9268056348664686e-05	2.045236760750413e-05	2.3251563106896356e-05	2.3790551495039836e-05	0.5061216530413261	2.3302516638068482e-05	2.5602093955967575e-05	2.2467031158157624e-05
PFKFB3	STR D2 MSN	UP	1.0636929342694759	0.16584832966327667	-0.23714398904668257	0.14256447553634644	0.1711278259754181	0.18385285139083862	7.616048969794065e-05	0.11093377334433362	7.319157157326117e-05	7.518636994063854e-05	7.968251156853512e-05	5.18348315381445e-06	-0.8262473049322967	1.0775880582514219e-05	3.391503014427144e-06	6.06180947215762e-06	7.536567409260897e-06	0.46669449309221955	5.923855496803299e-06	8.70909025252331e-06	7.976762390171643e-06
MTFR1	STR D2 MSN	UP	1.0219546568388584	0.11914917826652527	0.22137885197667506	0.1069767102599144	0.11905574053525925	0.13141493499279022	5.0621463742572814e-05	0.7041596039900999	3.7916852306807414e-05	5.259955287328921e-05	5.825003972859122e-05	4.98984491059673e-06	-0.6837862100104369	6.009933713357896e-06	4.321133928897325e-06	5.708491698896978e-06	1.1608036402321886e-05	0.5361629924373708	1.0179717719438486e-05	1.3602970284409821e-05	1.1041409379686229e-05
XYLT2	STR D2 MSN	UP	0.9892823655822025	0.03078286722302437	0.33237449282579173	0.025166740640997887	0.03344313055276871	0.03373872488737106	6.695292540825903e-05	0.41655441386034653	5.6294935347978026e-05	6.836412649136037e-05	7.365323835983872e-05	6.763378223695327e-06	-0.6490116986506665	7.211839147203136e-06	6.639210369030479e-06	6.801903509767726e-06	9.19892409001477e-06	0.5643806903456448	8.2840724644484e-06	1.1244094821449835e-05	8.068594070209656e-06
SCN1B	STR D2 MSN	UP	0.9677725570198132	0.0465848371386528	0.4068149588954257	0.0416133813560009	0.049247559159994125	0.048893608152866364	5.19789318786934e-05	-0.09552388809720244	4.9018231948139146e-05	5.226504072197713e-05	5.396834239945747e-05	5.943572887190385e-06	-0.590839336123293	1.0656000995368231e-05	5.227445399214048e-06	5.3868066061113495e-06	1.1171479854965582e-05	0.4384697368441971	1.0965668479911983e-05	1.012819029710954e-05	1.2420575330907013e-05
PHLDB3	STR D2 MSN	UP	0.9389407576474732	0.06965529173612595	-0.20323812374667982	0.062365900725126266	0.07041826099157333	0.07618162035942078	7.801715401001275e-05	0.16017550438760972	6.613865116378292e-05	7.388205267488956e-05	9.2397014668677e-05	3.017508561242721e-06	-0.8338908056248839	2.830226549122017e-06	2.969446086353855e-06	3.1646429761167383e-06	6.62321554045775e-06	0.6707193816143918	7.3237988544860855e-06	5.955783308309037e-06	6.590065368072828e-06
PLEKHA5	STR D2 MSN	UP	0.7918747568777171	2.2442173957824707	-0.29881092889618305	2.049851417541504	2.3329243659973145	2.349883556365967	8.429027366219088e-05	0.7082112052801322	7.445491792168468e-05	8.668986265547574e-05	8.914438512874767e-05	2.104940676872502e-06	-0.6219771011764256	3.081050635955762e-06	1.7380976942149573e-06	2.3465690901502967e-06	2.4299910364788957e-05	0.027375684392109807	2.2052992790122516e-05	2.5963578082155436e-05	2.488318204996176e-05
TUSC3	STR D2 MSN	UP	0.6870512327339723	1.6526416540145874	-0.22721623649290562	1.4070672988891602	1.7670087814331055	1.7838490009307861	4.3484946218086407e-05	0.07521938048451213	4.279032873455435e-05	4.310307849664241e-05	4.449531843420118e-05	6.010248398524709e-06	-0.7840734503954496	7.983099749253597e-06	4.9107347876997665e-06	7.083561285980977e-06	1.1457283108029515e-05	0.47642512588584496	1.2438375961210113e-05	1.037638503476046e-05	1.155708832811797e-05
